# ЗОНА: Пикник на обочине — спрайты
# Сгенерировано tools/gen/gen_sprites.py (процедурно, детерминированно)
# FORMAT: name | WxH кадра | кадров | normal | описание
# Листы анимации — горизонтальные полосы кадров 64x64;
# якорь «ног» Assets.SHEET_ANCHOR = (32, 58). FX-листы без normal-map.

stalker_idle | 64x64 | 4 | n | Игрок-сталкер: стойка с дыханием, капюшон и противогаз
stalker_walk | 64x64 | 6 | n | Игрок-сталкер: шаг, АК на груди стволом вверх
stalker_attack | 64x64 | 4 | n | Игрок-сталкер: выстрел из АК с отдачей
stalker_hurt | 64x64 | 2 | n | Игрок-сталкер: отброс от попадания
stalker_dead | 64x64 | 1 | n | Игрок-сталкер: труп на земле, лужа крови и выроненный АК
zombie_idle | 64x64 | 4 | n | Зомби-сталкер: качается, рваный камуфляж, опухшее лицо
zombie_walk | 64x64 | 6 | n | Зомби-сталкер: шаркающий шаг, ржавый АК в руке
zombie_attack | 64x64 | 4 | n | Зомби-сталкер: неуклюжий выпад и выстрел
dog_idle | 64x64 | 4 | n | Слепой пёс: стойка, бледная лысая кожа, шипы на хребте
dog_walk | 64x64 | 6 | n | Слепой пёс: рысь на четырёх ногах, хвост вразлёт
dog_attack | 64x64 | 4 | n | Слепой пёс: прыжок с раскрытой пастью и клыками
mutant_idle | 64x64 | 4 | n | Кровосос: сгорбленная стойка, щупальца на лице шевелятся
mutant_walk | 64x64 | 6 | n | Кровосос: тяжёлый шаг, длинные руки почти до земли
mutant_attack | 64x64 | 4 | n | Кровосос: замах с раскрытой пастью и когтями
boar_idle | 64x64 | 4 | n | Мутировавший кабан: приземистая туша, горб, щетина, клыки
boar_walk | 64x64 | 6 | n | Кабан: тяжёлая рысь, четыре ноги, клыки вперёд
boar_attack | 64x64 | 4 | n | Кабан: разгон головой вниз, клыки нацелены
anomaly_grav | 64x64 | 4 | - | Гравиконцентрат: искажённые кольца и затянутый мусор
anomaly_elektra | 64x64 | 4 | - | Электра: синие дуги-молнии и голубое свечение
anomaly_zharka | 64x64 | 4 | - | Жарка: пламя, угли и жар у земли
anomaly_fruit | 64x64 | 4 | - | Плод: пульсирующий зелёный плод с венами и спорами
muzzle_flash | 48x32 | 3 | - | Дульная вспышка: звезда и конус, аддитивно
blood_splat | 48x48 | 3 | - | Кровавый всплеск: растёт и затухает
spark | 16x16 | 4 | - | Искра: четырёхлучевая звёздочка
smoke_puff | 48x48 | 3 | - | Клуб дыма: расширяется и распадается
shockwave | 96x96 | 3 | - | Ударная волна: расширяющееся кольцо
light_cone | 256x256 | 1 | - | Конус фонаря, светит ВВЕРХ, белый с затуханием альфы
soft_shadow | 64x32 | 1 | - | Мягкая тень-эллипс (чёрный радиальный градиент)
barrel_rust | 48x64 | 1 | n | Ржавая бочка: цилиндр, обручи, потёки ржавчины
barrel_toxic | 48x64 | 1 | n | Токсичная бочка: жёлто-зелёная маркировка, знак радиации
crate_wood | 56x56 | 1 | n | Деревянный ящик: доски, железные уголки, трафарет
crate_metal | 56x56 | 1 | n | Металлический контейнер: рёбра, заклёпки, ржавчина
car_wreck | 128x80 | 1 | n | Разбитая машина: кузов, битые стёкла, ржавчина
bus_wreck | 160x96 | 1 | n | Сгоревший автобус: ряд окон, выгоревший зад
tree_dead | 96x128 | 1 | n | Сухое дерево: ствол, ветви-вилки, мох у корней
tree_pine | 96x144 | 1 | n | Мёртвая ель: ярусы хвои, рыжие ветки
bush_dry | 64x48 | 1 | n | Сухой куст-перекати-поле
rock_a | 72x56 | 1 | n | Валун: грани, трещины, мох
rock_b | 96x64 | 1 | n | Два валуна: большой и малый
tent | 96x80 | 1 | n | Палатка: брезент, вход, растяжки
campfire | 48x48 | 1 | n | Костровище: камни, головешки, угли и огонь
power_pole | 32x128 | 1 | n | Столб ЛЭП: поперечина, изоляторы, обрывки проводов
grave | 48x64 | 1 | n | Могила: покосившийся крест и холмик
well | 64x64 | 1 | n | Колодец: каменное кольцо, ворот, ведро
sign_radiation | 48x64 | 1 | n | Знак радиации: ржавый столб и табличка с трилистником
bunker_door | 64x48 | 1 | n | Гермодверь бункера: бетонная рама, штурвал, петли
fence_panel | 96x48 | 1 | n | Секция ржавого забора-сетки с дырами
pipe_ruin | 80x48 | 1 | n | Разрушенная бетонная труба с арматурой

# всего файлов albedo: 48
# нормалей: 37
